r,C_n
8.100000000000000000e+01,3.375077994860475883e-13
8.200000000000000000e+01,4.263256414560601115e-14
8.300000000000000000e+01,1.492139745096210390e-13
8.400000000000000000e+01,1.953992523340275511e-13
8.500000000000000000e+01,2.557953848736360669e-13
8.600000000000000000e+01,3.090860900556435809e-13
8.700000000000000000e+01,2.735589532676385716e-13
8.800000000000000000e+01,3.375077994860475883e-13
8.900000000000000000e+01,3.659295089164515957e-13
9.000000000000000000e+01,6.394884621840901673e-14
9.100000000000000000e+01,1.705302565824240446e-13
9.200000000000000000e+01,2.238209617644315585e-13
9.300000000000000000e+01,2.842170943040400743e-13
9.400000000000000000e+01,3.232969447708455846e-13
9.500000000000000000e+01,2.984279490192420781e-13
9.600000000000000000e+01,3.588240815588505939e-13
9.700000000000000000e+01,3.872457909892546013e-13
9.800000000000000000e+01,8.881784197001252323e-14
9.900000000000000000e+01,1.953992523340275511e-13
1.000000000000000000e+02,2.415845301584340632e-13
1.010000000000000000e+02,3.019806626980425790e-13
1.020000000000000000e+02,3.410605131648480892e-13
1.030000000000000000e+02,3.161915174132445827e-13
1.040000000000000000e+02,3.730349362740525976e-13
1.050000000000000000e+02,4.050093593832571059e-13
1.060000000000000000e+02,1.136868377216160297e-13
1.070000000000000000e+02,2.202682480856310576e-13
1.080000000000000000e+02,2.629008122312370688e-13
1.090000000000000000e+02,3.268496584496460855e-13
1.100000000000000000e+02,3.623767952376510948e-13
1.110000000000000000e+02,3.481659405224490911e-13
1.120000000000000000e+02,4.014566457044566050e-13
1.130000000000000000e+02,4.369837824924616143e-13
1.140000000000000000e+02,1.563194018672220409e-13
1.150000000000000000e+02,2.629008122312370688e-13
1.160000000000000000e+02,2.984279490192420781e-13
1.170000000000000000e+02,3.623767952376510948e-13
1.180000000000000000e+02,4.014566457044566050e-13
1.190000000000000000e+02,3.872457909892546013e-13
1.200000000000000000e+02,4.369837824924616143e-13
1.210000000000000000e+02,4.618527782440651208e-13
1.220000000000000000e+02,1.705302565824240446e-13
1.230000000000000000e+02,2.700062395888380706e-13
1.240000000000000000e+02,3.268496584496460855e-13
1.250000000000000000e+02,3.765876499528530985e-13
1.260000000000000000e+02,4.263256414560601115e-13
1.270000000000000000e+02,4.014566457044566050e-13
1.280000000000000000e+02,4.583000645652646199e-13
1.290000000000000000e+02,4.796163466380676255e-13
1.300000000000000000e+02,1.882938249764265493e-13
1.310000000000000000e+02,2.984279490192420781e-13
1.320000000000000000e+02,3.410605131648480892e-13
1.330000000000000000e+02,3.872457909892546013e-13
1.340000000000000000e+02,4.440892098500626162e-13
1.350000000000000000e+02,4.085620730620576069e-13
1.360000000000000000e+02,4.796163466380676255e-13
1.370000000000000000e+02,4.938272013532696292e-13
1.380000000000000000e+02,1.953992523340275511e-13
1.390000000000000000e+02,3.126388037344440818e-13
1.400000000000000000e+02,3.623767952376510948e-13
1.410000000000000000e+02,4.085620730620576069e-13
1.420000000000000000e+02,4.618527782440651208e-13
1.430000000000000000e+02,4.263256414560601115e-13
1.440000000000000000e+02,4.902744876744691283e-13
1.450000000000000000e+02,5.186961971048731357e-13
