r,C_sp
1.310000000000000000e+02,3.940804293364283317e-144
1.320000000000000000e+02,-2.242742540890858591e-145
1.330000000000000000e+02,-7.327082573490383099e-146
1.340000000000000000e+02,-8.126682131617741476e-147
1.350000000000000000e+02,-6.442567306132376402e-150
1.360000000000000000e+02,-5.339664034388108044e-151
1.370000000000000000e+02,5.330614699651117096e-151
1.380000000000000000e+02,2.581068627492397892e-152
1.390000000000000000e+02,4.732932096848518613e-154
1.400000000000000000e+02,1.538385674431372280e-153
1.410000000000000000e+02,5.008551139685639196e-155
1.420000000000000000e+02,2.141738327278726941e-155
1.430000000000000000e+02,-1.227122663387761637e-157
1.440000000000000000e+02,1.563537204081134812e-158
1.450000000000000000e+02,6.813839506315566157e-160
1.460000000000000000e+02,1.085698016119566964e-161
1.470000000000000000e+02,-1.006901650313997958e-161
1.480000000000000000e+02,-1.782427848167899414e-162
1.490000000000000000e+02,6.077668718172956852e-163
1.500000000000000000e+02,-9.206266601663369865e-165
1.510000000000000000e+02,6.065389861379563148e-166
1.520000000000000000e+02,-8.309134580970499011e-168
1.530000000000000000e+02,-2.607466254072030970e-168
1.540000000000000000e+02,-4.999638311973047750e-170
1.550000000000000000e+02,2.939961760346693765e-170
1.560000000000000000e+02,-2.319955118327407794e-171
1.570000000000000000e+02,-2.485347604111445394e-172
1.580000000000000000e+02,-5.789076659550184229e-173
1.590000000000000000e+02,-7.419504837595734083e-175
1.600000000000000000e+02,-1.353300781712818388e-175
1.610000000000000000e+02,3.470915695664588384e-177
1.620000000000000000e+02,-2.015240608943645552e-179
1.630000000000000000e+02,-8.472972368054164428e-180
1.640000000000000000e+02,1.142701743522531097e-179
1.650000000000000000e+02,-1.923013309775127124e-180
1.660000000000000000e+02,1.674120253901569800e-181
1.670000000000000000e+02,-2.701372791713797042e-183
1.680000000000000000e+02,3.280448543040291433e-185
1.690000000000000000e+02,5.872102460198138881e-186
1.700000000000000000e+02,-1.119349863408688124e-187
1.710000000000000000e+02,-1.364195321635407871e-187
1.720000000000000000e+02,-9.856746869445773397e-189
1.730000000000000000e+02,1.340124002037904835e-189
1.740000000000000000e+02,-3.746584768011386611e-191
1.750000000000000000e+02,5.535730620261945799e-192
1.760000000000000000e+02,4.589445147147345345e-193
1.770000000000000000e+02,-2.699020257505419915e-194
1.780000000000000000e+02,-1.151572311685728025e-197
1.790000000000000000e+02,1.831311287010691800e-196
1.800000000000000000e+02,-3.078361801288786430e-197
1.810000000000000000e+02,5.098286422129819553e-199
1.820000000000000000e+02,-6.427466373382610017e-199
1.830000000000000000e+02,3.485409435571418746e-201
1.840000000000000000e+02,-2.660203682822576448e-202
1.850000000000000000e+02,1.188504878165995117e-203
1.860000000000000000e+02,1.002757848721988274e-204
1.870000000000000000e+02,2.423261971497161939e-205
1.880000000000000000e+02,8.382346449990192897e-206
1.890000000000000000e+02,-3.560121558402448246e-207
1.900000000000000000e+02,1.000388552485268892e-207
1.910000000000000000e+02,-1.741504494099465571e-209
1.920000000000000000e+02,-2.158174782824495453e-211
1.930000000000000000e+02,7.784535207814549526e-212
1.940000000000000000e+02,2.559719458076322661e-214
1.950000000000000000e+02,-8.450537140455892591e-214
1.960000000000000000e+02,-1.856871206792063739e-215
1.970000000000000000e+02,2.098190951642692247e-215
1.980000000000000000e+02,7.700930511587118037e-217
1.990000000000000000e+02,2.184030760394909911e-218
