r,C_n
1.630000000000000000e+02,1.465494392505206633e-13
1.640000000000000000e+02,1.469935284603707260e-13
1.650000000000000000e+02,1.478817068800708512e-13
1.660000000000000000e+02,1.523225989785714773e-13
1.670000000000000000e+02,1.527666881884215400e-13
1.680000000000000000e+02,1.549871342376718530e-13
1.690000000000000000e+02,1.492139745096210390e-13
1.700000000000000000e+02,1.536548666081216652e-13
1.710000000000000000e+02,1.536548666081216652e-13
1.720000000000000000e+02,1.536548666081216652e-13
1.730000000000000000e+02,1.563194018672220409e-13
1.740000000000000000e+02,1.603162047558726044e-13
1.750000000000000000e+02,1.603162047558726044e-13
1.760000000000000000e+02,1.625366508051229175e-13
1.770000000000000000e+02,1.558753126573719783e-13
1.780000000000000000e+02,1.607602939657226671e-13
1.790000000000000000e+02,1.603162047558726044e-13
1.800000000000000000e+02,1.612043831755727297e-13
1.810000000000000000e+02,1.616484723854227923e-13
1.820000000000000000e+02,1.656452752740733558e-13
1.830000000000000000e+02,1.656452752740733558e-13
1.840000000000000000e+02,1.674216321134736063e-13
1.850000000000000000e+02,1.616484723854227923e-13
1.860000000000000000e+02,1.660893644839234184e-13
1.870000000000000000e+02,1.652011860642232932e-13
1.880000000000000000e+02,1.660893644839234184e-13
1.890000000000000000e+02,1.678657213233236689e-13
1.900000000000000000e+02,1.714184350021241698e-13
1.910000000000000000e+02,1.718625242119742325e-13
1.920000000000000000e+02,1.736388810513744829e-13
1.930000000000000000e+02,1.687538997430237941e-13
1.940000000000000000e+02,1.736388810513744829e-13
1.950000000000000000e+02,1.727507026316743577e-13
1.960000000000000000e+02,1.727507026316743577e-13
1.970000000000000000e+02,1.740829702612245455e-13
1.980000000000000000e+02,1.780797731498751091e-13
1.990000000000000000e+02,1.794120407794252969e-13
2.000000000000000000e+02,1.807443084089754848e-13
2.010000000000000000e+02,1.754152378907747334e-13
2.020000000000000000e+02,1.798561299892753595e-13
2.030000000000000000e+02,1.794120407794252969e-13
2.040000000000000000e+02,1.794120407794252969e-13
2.050000000000000000e+02,1.816324868286756100e-13
2.060000000000000000e+02,1.851852005074761109e-13
2.070000000000000000e+02,1.860733789271762362e-13
2.080000000000000000e+02,1.878497357665764866e-13
2.090000000000000000e+02,1.825206652483757352e-13
2.100000000000000000e+02,1.860733789271762362e-13
2.110000000000000000e+02,1.856292897173261736e-13
2.120000000000000000e+02,1.865174681370262988e-13
2.130000000000000000e+02,1.878497357665764866e-13
2.140000000000000000e+02,1.922906278650771128e-13
2.150000000000000000e+02,1.931788062847772380e-13
2.160000000000000000e+02,1.940669847044773633e-13
2.170000000000000000e+02,1.891820033961266745e-13
2.180000000000000000e+02,1.927347170749271754e-13
2.190000000000000000e+02,1.922906278650771128e-13
2.200000000000000000e+02,1.936228954946273006e-13
2.210000000000000000e+02,1.945110739143274259e-13
2.220000000000000000e+02,1.989519660128280520e-13
2.230000000000000000e+02,1.998401444325281773e-13
2.240000000000000000e+02,2.011724120620783651e-13
2.250000000000000000e+02,1.958433415438776137e-13
2.260000000000000000e+02,2.007283228522283025e-13
2.270000000000000000e+02,1.998401444325281773e-13
2.280000000000000000e+02,1.993960552226781147e-13
2.290000000000000000e+02,2.016165012719284277e-13
2.300000000000000000e+02,2.060573933704290539e-13
2.310000000000000000e+02,2.069455717901291791e-13
2.320000000000000000e+02,2.087219286295294296e-13
2.330000000000000000e+02,2.029487689014786156e-13
2.340000000000000000e+02,2.073896609999792418e-13
2.350000000000000000e+02,2.073896609999792418e-13
2.360000000000000000e+02,2.073896609999792418e-13
2.370000000000000000e+02,2.091660178393794922e-13
2.380000000000000000e+02,2.131628207280300558e-13
2.390000000000000000e+02,2.140509991477301810e-13
2.400000000000000000e+02,2.162714451969804941e-13
2.410000000000000000e+02,2.104982854689296801e-13
2.420000000000000000e+02,2.136069099378801184e-13
2.430000000000000000e+02,2.136069099378801184e-13
2.440000000000000000e+02,2.149391775674303062e-13
2.450000000000000000e+02,2.158273559871304315e-13
2.460000000000000000e+02,2.207123372954811202e-13
2.470000000000000000e+02,2.211564265053311829e-13
2.480000000000000000e+02,2.229327833447314333e-13
2.490000000000000000e+02,2.176037128265306819e-13
