r,C_j
1.900000000000000000e+02,-2.216354017647859109e-06
1.910000000000000000e+02,-3.636606624723981440e-07
1.920000000000000000e+02,2.192102037668064440e-06
1.930000000000000000e+02,1.477655787951448474e-06
1.940000000000000000e+02,1.906894203429487789e-06
1.950000000000000000e+02,-2.190592685025194442e-07
1.960000000000000000e+02,-2.364682211819513213e-06
1.970000000000000000e+02,-7.391653991106750254e-07
1.980000000000000000e+02,-2.216445540881295528e-06
1.990000000000000000e+02,-3.637078940244009573e-07
