r,C_d
4.400000000000000000e+01,3.766424709944718341e+00
4.500000000000000000e+01,3.766345940308267970e+00
4.600000000000000000e+01,3.766662606477040320e+00
4.700000000000000000e+01,3.766279805108187606e+00
4.800000000000000000e+01,3.766923682237297122e+00
4.900000000000000000e+01,3.766889239349161755e+00
5.000000000000000000e+01,3.767146004251268998e+00
5.100000000000000000e+01,3.766763047260447639e+00
5.200000000000000000e+01,3.767444409455282361e+00
5.300000000000000000e+01,3.767349592844841943e+00
5.400000000000000000e+01,3.767614842036476119e+00
5.500000000000000000e+01,3.767255086694497379e+00
5.600000000000000000e+01,3.767874309936179333e+00
5.700000000000000000e+01,3.767801440480351705e+00
5.800000000000000000e+01,3.768081379741048842e+00
5.900000000000000000e+01,3.767657303229415611e+00
6.000000000000000000e+01,3.768311310228020794e+00
6.100000000000000000e+01,3.768245135429469705e+00
6.200000000000000000e+01,3.768465775996163725e+00
6.300000000000000000e+01,3.768084029427887227e+00
6.400000000000000000e+01,3.768730760378671718e+00
6.500000000000000000e+01,3.768614428629996294e+00
6.600000000000000000e+01,3.768879662597748315e+00
6.700000000000000000e+01,3.768471696401642923e+00
6.800000000000000000e+01,3.769078204438849777e+00
6.900000000000000000e+01,3.769010540409023946e+00
7.000000000000000000e+01,3.769243301680266001e+00
7.100000000000000000e+01,3.768805762287473993e+00
7.200000000000000000e+01,3.769462210074126407e+00
7.300000000000000000e+01,3.769355945931330165e+00
7.400000000000000000e+01,3.769568307624333148e+00
7.500000000000000000e+01,3.769175462198726567e+00
7.600000000000000000e+01,3.769783845345003215e+00
7.700000000000000000e+01,3.769670447975972838e+00
7.800000000000000000e+01,3.769921828563601363e+00
7.900000000000000000e+01,3.769470400210223282e+00
8.000000000000000000e+01,3.770086041820995160e+00
8.100000000000000000e+01,3.770006284297059640e+00
8.200000000000000000e+01,3.770199564091971656e+00
8.300000000000000000e+01,3.769768284513096646e+00
8.400000000000000000e+01,3.770407367062214021e+00
8.500000000000000000e+01,3.770271799909918897e+00
8.600000000000000000e+01,3.770491643061034903e+00
8.700000000000000000e+01,3.770068273931926228e+00
8.800000000000000000e+01,3.770653715837950504e+00
8.900000000000000000e+01,3.770553444181477420e+00
9.000000000000000000e+01,3.770772881071277283e+00
9.100000000000000000e+01,3.770299441650875938e+00
9.200000000000000000e+01,3.770928594931625355e+00
9.300000000000000000e+01,3.770819462242516185e+00
9.400000000000000000e+01,3.770995905666080006e+00
9.500000000000000000e+01,3.770570226892283383e+00
9.600000000000000000e+01,3.771177633959244435e+00
9.700000000000000000e+01,3.771035560599316216e+00
9.800000000000000000e+01,3.771258722616950276e+00
9.900000000000000000e+01,3.770796024419992509e+00
1.000000000000000000e+02,3.771382208830815763e+00
1.010000000000000000e+02,3.771286228522598094e+00
1.020000000000000000e+02,3.771468213109997691e+00
1.030000000000000000e+02,3.770996897812799453e+00
1.040000000000000000e+02,3.771625792761773344e+00
1.050000000000000000e+02,3.771484938097997563e+00
1.060000000000000000e+02,3.771666781235054167e+00
1.070000000000000000e+02,3.771229694618442707e+00
1.080000000000000000e+02,3.771808219586607613e+00
1.090000000000000000e+02,3.771678170663656626e+00
1.100000000000000000e+02,3.771887006290761679e+00
1.110000000000000000e+02,3.771394912536942812e+00
