r,C_d
1.480000000000000000e+02,6.618453099534592605e-69
1.490000000000000000e+02,2.390469179396409264e-69
1.500000000000000000e+02,8.633893709759807177e-70
1.510000000000000000e+02,3.118380072329343689e-70
1.520000000000000000e+02,1.126292520075882821e-70
1.530000000000000000e+02,4.067929855175245993e-71
1.540000000000000000e+02,1.469249687353978377e-71
1.550000000000000000e+02,5.306558376271287396e-72
1.560000000000000000e+02,1.916609682769881335e-72
1.570000000000000000e+02,6.922458024393943501e-73
1.580000000000000000e+02,2.500252558002136486e-73
1.590000000000000000e+02,9.030384223176677624e-74
1.600000000000000000e+02,3.261582606888761398e-74
1.610000000000000000e+02,1.178014505730174173e-74
1.620000000000000000e+02,4.254737682447722487e-75
1.630000000000000000e+02,1.536703671547544138e-75
1.640000000000000000e+02,5.550228467930555244e-76
1.650000000000000000e+02,2.004645178569338117e-76
1.660000000000000000e+02,7.240375049192246832e-77
1.670000000000000000e+02,2.615070561891474006e-77
1.680000000000000000e+02,9.445078359908283131e-78
1.690000000000000000e+02,3.411362107650231606e-78
1.700000000000000000e+02,1.232111390624766981e-78
1.710000000000000000e+02,4.450074808573382620e-79
1.720000000000000000e+02,1.607267057714539527e-79
1.730000000000000000e+02,5.805166718079571976e-80
1.740000000000000000e+02,2.096709418302068279e-80
1.750000000000000000e+02,7.572871625375230879e-81
1.760000000000000000e+02,2.735160073853161993e-81
1.770000000000000000e+02,9.878818447911163931e-82
1.780000000000000000e+02,3.568018976461032967e-82
1.790000000000000000e+02,1.288678238394470945e-82
1.800000000000000000e+02,4.654416318093403051e-83
1.810000000000000000e+02,1.681093541506667304e-83
1.820000000000000000e+02,6.071771635015467211e-84
1.830000000000000000e+02,2.192995687878826930e-84
1.840000000000000000e+02,7.920633736264168148e-85
1.850000000000000000e+02,2.860765021438107831e-85
1.860000000000000000e+02,1.033247441232711444e-85
1.870000000000000000e+02,3.731828505341094971e-86
1.880000000000000000e+02,1.347852627142181780e-86
1.890000000000000000e+02,4.868207292901339132e-87
1.900000000000000000e+02,1.758298525610352842e-87
1.910000000000000000e+02,6.350602948295087930e-88
1.920000000000000000e+02,2.293702638630043054e-88
1.930000000000000000e+02,8.284367762309727092e-89
1.940000000000000000e+02,2.992137322882429418e-89
1.950000000000000000e+02,1.080684346056602095e-89
1.960000000000000000e+02,3.903189101159402996e-90
1.970000000000000000e+02,1.409763446329540676e-90
1.980000000000000000e+02,5.091781923000088350e-91
1.990000000000000000e+02,1.839044099810194818e-91
2.000000000000000000e+02,6.642235924109935995e-92
2.010000000000000000e+02,2.399034828343135886e-92
2.020000000000000000e+02,8.664803223052382089e-93
2.030000000000000000e+02,3.129507838160954770e-93
2.040000000000000000e+02,1.130307932235385019e-93
2.050000000000000000e+02,4.082474009492835314e-94
2.060000000000000000e+02,1.474507472638466194e-94
2.070000000000000000e+02,5.325609597365144941e-95
2.080000000000000000e+02,1.923496853014885532e-95
2.090000000000000000e+02,6.947262932714414988e-96
2.100000000000000000e+02,2.509203515496783940e-96
2.110000000000000000e+02,9.062608656128467430e-97
2.120000000000000000e+02,3.273210670974672610e-97
2.130000000000000000e+02,1.182226286373277162e-97
2.140000000000000000e+02,4.269963481833910206e-98
2.150000000000000000e+02,1.542220634430746355e-98
2.160000000000000000e+02,5.570172733746488614e-99
2.170000000000000000e+02,2.011828327211432418e-99
2.180000000000000000e+02,7.266295748565548431e-100
2.190000000000000000e+02,2.624402299065901803e-100
2.200000000000000000e+02,9.478751578248944234e-101
2.210000000000000000e+02,3.423558824727679412e-101
2.220000000000000000e+02,1.236520565309257987e-101
2.230000000000000000e+02,4.466051147348170345e-102
2.240000000000000000e+02,1.613042633012001762e-102
2.250000000000000000e+02,5.825968093292098562e-103
2.260000000000000000e+02,2.104215683564038345e-103
2.270000000000000000e+02,7.599895006704302783e-104
2.280000000000000000e+02,2.744911358101042623e-104
2.290000000000000000e+02,9.914138402663031596e-105
2.300000000000000000e+02,3.580787318059374432e-105
2.310000000000000000e+02,1.293304758439599859e-105
2.320000000000000000e+02,4.671141561106104417e-106
2.330000000000000000e+02,1.687117323330682432e-106
2.340000000000000000e+02,6.093508709483787127e-107
2.350000000000000000e+02,2.200821273990171240e-107
2.360000000000000000e+02,7.948872065728349928e-108
2.370000000000000000e+02,2.870993176960434633e-108
2.380000000000000000e+02,1.036944970985427121e-108
2.390000000000000000e+02,3.745226248014844550e-109
2.400000000000000000e+02,1.352696019146724253e-109
2.410000000000000000e+02,4.885651306535196228e-110
2.420000000000000000e+02,1.764593272570995158e-110
2.430000000000000000e+02,6.373264730334947209e-111
2.440000000000000000e+02,2.301880056375601695e-111
2.450000000000000000e+02,8.313987042927844785e-112
2.460000000000000000e+02,3.002844842051966123e-112
2.470000000000000000e+02,1.084564141381719238e-112
2.480000000000000000e+02,3.917214874091959341e-113
2.490000000000000000e+02,1.414814984053752970e-113
