r,C_nn
1.310000000000000000e+02,-1.487178380443765491e-09
1.320000000000000000e+02,-1.166943874864045938e-09
1.330000000000000000e+02,-1.759561385483721097e-09
1.340000000000000000e+02,-9.126125632974435575e-09
1.350000000000000000e+02,1.750006362044587149e-09
1.360000000000000000e+02,-1.264144344759188243e-09
1.370000000000000000e+02,-1.545545913472778921e-09
1.380000000000000000e+02,-1.415267902871164551e-09
1.390000000000000000e+02,-1.489128820253426966e-09
1.400000000000000000e+02,-1.168748653412876592e-09
1.410000000000000000e+02,-1.761327084182084945e-09
1.420000000000000000e+02,-9.127756328553005005e-09
1.430000000000000000e+02,1.748459155237469531e-09
1.440000000000000000e+02,-1.265606286438014649e-09
1.450000000000000000e+02,-1.546922590023314115e-09
1.460000000000000000e+02,-1.416601946857554140e-09
1.470000000000000000e+02,-1.490349177402094938e-09
1.480000000000000000e+02,-1.169887298146932153e-09
1.490000000000000000e+02,-1.762431978136191901e-09
1.500000000000000000e+02,-9.128800826374572353e-09
1.510000000000000000e+02,1.747462619050565991e-09
1.520000000000000000e+02,-1.266540650135539181e-09
1.530000000000000000e+02,-1.547796557588299038e-09
1.540000000000000000e+02,-1.417456374497305660e-09
1.550000000000000000e+02,-1.491137879838788649e-09
1.560000000000000000e+02,-1.170622709878443857e-09
1.570000000000000000e+02,-1.763153179012988403e-09
1.580000000000000000e+02,-9.129477618330383848e-09
1.590000000000000000e+02,1.746810696090506099e-09
1.600000000000000000e+02,-1.267153493245132267e-09
1.610000000000000000e+02,-1.548372097204264719e-09
1.620000000000000000e+02,-1.418014150544877339e-09
1.630000000000000000e+02,-1.491653023322214722e-09
1.640000000000000000e+02,-1.171105878938760725e-09
1.650000000000000000e+02,-1.763631019002787070e-09
1.660000000000000000e+02,-9.129912825756036909e-09
1.670000000000000000e+02,1.746398581303765241e-09
1.680000000000000000e+02,-1.267549620820318523e-09
1.690000000000000000e+02,-1.548738026713181171e-09
1.700000000000000000e+02,-1.418374750983275590e-09
1.710000000000000000e+02,-1.491990531121700769e-09
1.720000000000000000e+02,-1.171418517742495169e-09
1.730000000000000000e+02,-1.763932999665485113e-09
1.740000000000000000e+02,-9.130195266493501549e-09
1.750000000000000000e+02,1.746130351421015803e-09
1.760000000000000000e+02,-1.267798310777834558e-09
1.770000000000000000e+02,-1.548976058529660804e-09
1.780000000000000000e+02,-1.418596795588200621e-09
1.790000000000000000e+02,-1.492194812158231798e-09
1.800000000000000000e+02,-1.171610364281150396e-09
1.810000000000000000e+02,-1.764126622560979740e-09
1.820000000000000000e+02,-9.130376454891120375e-09
1.830000000000000000e+02,1.745952715737075778e-09
1.840000000000000000e+02,-1.267967064677577582e-09
1.850000000000000000e+02,-1.549132377931528026e-09
1.860000000000000000e+02,-1.418756667703746643e-09
1.870000000000000000e+02,-1.492345802489580819e-09
1.880000000000000000e+02,-1.171754249185141816e-09
1.890000000000000000e+02,-1.764265178394452960e-09
1.900000000000000000e+02,-9.130509681654075393e-09
