r,C_nn
1.530000000000000000e+02,5.858487472920614891e-09
1.540000000000000000e+02,5.620334420086692262e-09
1.550000000000000000e+02,5.406523673201490965e-09
1.560000000000000000e+02,5.190903706875360513e-09
1.570000000000000000e+02,4.998652158860750205e-09
1.580000000000000000e+02,4.884516791037185612e-09
1.590000000000000000e+02,4.816126164541856269e-09
1.600000000000000000e+02,4.726728342063779564e-09
1.610000000000000000e+02,4.585025692449562484e-09
1.620000000000000000e+02,4.390780183882725396e-09
1.630000000000000000e+02,4.220105598307100081e-09
1.640000000000000000e+02,4.043305246170803002e-09
1.650000000000000000e+02,3.892885125367229193e-09
1.660000000000000000e+02,3.823789285206657951e-09
1.670000000000000000e+02,3.800574965850955778e-09
1.680000000000000000e+02,3.745882715122661466e-09
1.690000000000000000e+02,3.637296686065383255e-09
1.700000000000000000e+02,3.476417376191420772e-09
1.710000000000000000e+02,3.338147092080134826e-09
1.720000000000000000e+02,3.190817388087907602e-09
1.730000000000000000e+02,3.071485288330677577e-09
1.740000000000000000e+02,3.034156925707520713e-09
1.750000000000000000e+02,3.041954244054068113e-09
1.760000000000000000e+02,3.011741078751128953e-09
1.770000000000000000e+02,2.927647457795501396e-09
1.780000000000000000e+02,2.792391207151467825e-09
1.790000000000000000e+02,2.678662625044125889e-09
1.800000000000000000e+02,2.553956157669290405e-09
1.810000000000000000e+02,2.457876568939809658e-09
1.820000000000000000e+02,2.442757107701254427e-09
1.830000000000000000e+02,2.471423954375495669e-09
1.840000000000000000e+02,2.458326875398597622e-09
1.850000000000000000e+02,2.392420928032379379e-09
1.860000000000000000e+02,2.277064758970936964e-09
1.870000000000000000e+02,2.182098501890550324e-09
1.880000000000000000e+02,2.074980187671826570e-09
1.890000000000000000e+02,1.996418141914091393e-09
1.900000000000000000e+02,1.996635745626917924e-09
1.910000000000000000e+02,2.038913038404643885e-09
1.920000000000000000e+02,2.037637614193954505e-09
1.930000000000000000e+02,1.985311914864951177e-09
1.940000000000000000e+02,1.885596123685218117e-09
1.950000000000000000e+02,1.805124494325127671e-09
1.960000000000000000e+02,1.711853769847948570e-09
1.970000000000000000e+02,1.646613512207295571e-09
1.980000000000000000e+02,1.657236126106909069e-09
1.990000000000000000e+02,1.707965324726501422e-09
