r,C_j
5.700000000000000000e+01,-3.075048562317661549e-04
5.800000000000000000e+01,-2.969751551669119749e-04
5.900000000000000000e+01,-2.869011178212588220e-04
6.000000000000000000e+01,-2.775071913241333732e-04
6.100000000000000000e+01,-2.693129634456781218e-04
6.200000000000000000e+01,-2.604311586260621425e-04
6.300000000000000000e+01,-2.524109356611958788e-04
6.400000000000000000e+01,-2.446770987880597659e-04
6.500000000000000000e+01,-2.371889778673974547e-04
6.600000000000000000e+01,-2.301959989692292652e-04
6.700000000000000000e+01,-2.234509871490431010e-04
6.800000000000000000e+01,-2.171106945043632663e-04
6.900000000000000000e+01,-2.117374163024265954e-04
7.000000000000000000e+01,-2.056221511752553965e-04
7.100000000000000000e+01,-2.001397449280517549e-04
7.200000000000000000e+01,-1.947699971882599357e-04
7.300000000000000000e+01,-1.895247588894477531e-04
7.400000000000000000e+01,-1.846241632303957658e-04
7.500000000000000000e+01,-1.798628147389180754e-04
7.600000000000000000e+01,-1.753494566516522468e-04
7.700000000000000000e+01,-1.716222319485538605e-04
7.800000000000000000e+01,-1.671950265738075814e-04
7.900000000000000000e+01,-1.632491196748020457e-04
8.000000000000000000e+01,-1.593319125818837279e-04
8.100000000000000000e+01,-1.554762713578128341e-04
8.200000000000000000e+01,-1.518726955556104485e-04
8.300000000000000000e+01,-1.483502878523168533e-04
8.400000000000000000e+01,-1.449834099318536573e-04
8.500000000000000000e+01,-1.422566090418797558e-04
8.600000000000000000e+01,-1.389114873369123870e-04
8.700000000000000000e+01,-1.359412342019084008e-04
8.800000000000000000e+01,-1.329619297329998062e-04
8.900000000000000000e+01,-1.300116726357103403e-04
9.000000000000000000e+01,-1.272533372853601463e-04
9.100000000000000000e+01,-1.245446296120888974e-04
9.200000000000000000e+01,-1.219348155787614019e-04
9.300000000000000000e+01,-1.198447789203527236e-04
9.400000000000000000e+01,-1.172299241734009456e-04
9.500000000000000000e+01,-1.149114570830889193e-04
9.600000000000000000e+01,-1.125697593300500898e-04
9.700000000000000000e+01,-1.102406361193075668e-04
9.800000000000000000e+01,-1.080622043252432718e-04
9.900000000000000000e+01,-1.059159416190169622e-04
1.000000000000000000e+02,-1.038324281221747469e-04
1.010000000000000000e+02,-1.021685335897970504e-04
1.020000000000000000e+02,-1.000718746135831339e-04
1.030000000000000000e+02,-9.821141547927680904e-05
1.040000000000000000e+02,-9.632524464375791240e-05
1.050000000000000000e+02,-9.444364714816799733e-05
1.060000000000000000e+02,-9.268302637632785945e-05
1.070000000000000000e+02,-9.094465558590059118e-05
1.080000000000000000e+02,-8.924495275941524142e-05
1.090000000000000000e+02,-8.788099895706835696e-05
1.100000000000000000e+02,-8.616898310531695415e-05
1.110000000000000000e+02,-8.464561746901466677e-05
1.120000000000000000e+02,-8.309953798235625300e-05
1.130000000000000000e+02,-8.155447758806388947e-05
1.140000000000000000e+02,-8.010803553926137965e-05
1.150000000000000000e+02,-7.867799884042625536e-05
1.160000000000000000e+02,-7.726989538703321614e-05
1.170000000000000000e+02,-7.612711402682492690e-05
1.180000000000000000e+02,-7.471145765602926758e-05
1.190000000000000000e+02,-7.344607852921569702e-05
1.200000000000000000e+02,-7.216323784042799616e-05
1.210000000000000000e+02,-7.088016227729809771e-05
1.220000000000000000e+02,-6.967829218673671221e-05
1.230000000000000000e+02,-6.848921204660740614e-05
1.240000000000000000e+02,-6.730998366943907740e-05
1.250000000000000000e+02,-6.633687948376376653e-05
1.260000000000000000e+02,-6.515625189784657323e-05
1.270000000000000000e+02,-6.409448008160012478e-05
1.280000000000000000e+02,-6.302111813738520141e-05
1.290000000000000000e+02,-6.194742203469161268e-05
1.300000000000000000e+02,-6.094101488329783933e-05
1.310000000000000000e+02,-5.994502364448095477e-05
1.320000000000000000e+02,-5.894987953514174706e-05
1.330000000000000000e+02,-5.811110676745556702e-05
1.340000000000000000e+02,-5.712086795472970380e-05
1.350000000000000000e+02,-5.622350862832803386e-05
1.360000000000000000e+02,-5.532025522203554146e-05
1.370000000000000000e+02,-5.441711381504177325e-05
1.380000000000000000e+02,-5.356993111060859292e-05
1.390000000000000000e+02,-5.273149998963333474e-05
1.400000000000000000e+02,-5.188703718772558204e-05
1.410000000000000000e+02,-5.115716751902255055e-05
1.420000000000000000e+02,-5.032349187228390974e-05
1.430000000000000000e+02,-4.956109232256977748e-05
1.440000000000000000e+02,-4.879796616208409432e-05
1.450000000000000000e+02,-4.803562219191093163e-05
1.460000000000000000e+02,-4.731989333972563827e-05
1.470000000000000000e+02,-4.661167287522971492e-05
1.480000000000000000e+02,-4.589207286187502177e-05
1.490000000000000000e+02,-4.525203391292365040e-05
1.500000000000000000e+02,-4.454844969892235440e-05
1.510000000000000000e+02,-4.389811267824228480e-05
1.520000000000000000e+02,-4.325156247197980974e-05
1.530000000000000000e+02,-4.260652232712658360e-05
1.540000000000000000e+02,-4.200032494416916506e-05
1.550000000000000000e+02,-4.140065541236026547e-05
1.560000000000000000e+02,-4.078540204321967622e-05
1.570000000000000000e+02,-4.022038897133484170e-05
1.580000000000000000e+02,-3.962566761384067604e-05
1.590000000000000000e+02,-3.906912194828748852e-05
1.600000000000000000e+02,-3.852021126427018771e-05
1.610000000000000000e+02,-3.797351288170602857e-05
1.620000000000000000e+02,-3.745915460218185444e-05
1.630000000000000000e+02,-3.695051780194802404e-05
1.640000000000000000e+02,-3.642297320549658934e-05
1.650000000000000000e+02,-3.592118378570319237e-05
1.660000000000000000e+02,-3.541799744688489682e-05
1.670000000000000000e+02,-3.494038238294194798e-05
1.680000000000000000e+02,-3.447362741137993680e-05
1.690000000000000000e+02,-3.400972275091618258e-05
1.700000000000000000e+02,-3.357269726222966710e-05
1.710000000000000000e+02,-3.314071030580123534e-05
1.720000000000000000e+02,-3.268718518967261843e-05
1.730000000000000000e+02,-3.223902341442652641e-05
1.740000000000000000e+02,-3.181305118538091392e-05
1.750000000000000000e+02,-3.140211475027854249e-05
1.760000000000000000e+02,-3.100470479466821416e-05
1.770000000000000000e+02,-3.061070407550658956e-05
1.780000000000000000e+02,-3.023898525800206016e-05
1.790000000000000000e+02,-2.987171522050857675e-05
1.800000000000000000e+02,-2.948083275899904265e-05
1.810000000000000000e+02,-2.907838485555203079e-05
1.820000000000000000e+02,-2.871768874701530194e-05
1.830000000000000000e+02,-2.836323402455320775e-05
1.840000000000000000e+02,-2.802448374161770062e-05
1.850000000000000000e+02,-2.768961975530004338e-05
1.860000000000000000e+02,-2.737316163781144951e-05
1.870000000000000000e+02,-2.706063680779635661e-05
1.880000000000000000e+02,-2.672287678695539626e-05
1.890000000000000000e+02,-2.635955055563243832e-05
1.900000000000000000e+02,-2.605412033940268657e-05
1.910000000000000000e+02,-2.574760544860055234e-05
1.920000000000000000e+02,-2.545855253099915672e-05
1.930000000000000000e+02,-2.517378480693110987e-05
1.940000000000000000e+02,-2.490415190781192223e-05
1.950000000000000000e+02,-2.463799847340908400e-05
1.960000000000000000e+02,-2.434535689133099368e-05
1.970000000000000000e+02,-2.401562211229446575e-05
1.980000000000000000e+02,-2.375703029322551174e-05
1.990000000000000000e+02,-2.349126784917388022e-05
