r,C_sp
6.900000000000000000e+01,-7.393918700630370752e-04
7.000000000000000000e+01,1.394412740297528396e-03
7.100000000000000000e+01,2.951255294071427476e-02
7.200000000000000000e+01,1.686167935405964019e-02
7.300000000000000000e+01,-8.408854784253096820e-03
7.400000000000000000e+01,-1.563742454061339479e-02
7.500000000000000000e+01,-1.666788731817403502e-02
7.600000000000000000e+01,3.909356531684508276e-04
7.700000000000000000e+01,-7.393880042741015832e-04
7.800000000000000000e+01,1.394414949620818248e-03
7.900000000000000000e+01,2.951254907707732272e-02
8.000000000000000000e+01,1.686167911680866438e-02
8.100000000000000000e+01,-8.408851391136137540e-03
8.200000000000000000e+01,-1.563741911360740089e-02
8.300000000000000000e+01,-1.666788163202270398e-02
8.400000000000000000e+01,3.909385039414717397e-04
8.500000000000000000e+01,-7.393853762379088389e-04
8.600000000000000000e+01,1.394416487364231972e-03
8.700000000000000000e+01,2.951254673588571756e-02
8.800000000000000000e+01,1.686167904498683465e-02
8.900000000000000000e+01,-8.408849146445459416e-03
9.000000000000000000e+01,-1.563741558944040794e-02
9.100000000000000000e+01,-1.666787797346458086e-02
9.200000000000000000e+01,3.909403664033004352e-04
9.300000000000000000e+01,-7.393836593078149727e-04
9.400000000000000000e+01,1.394417525116366848e-03
9.500000000000000000e+01,2.951254530916963548e-02
9.600000000000000000e+01,1.686167902421008627e-02
9.700000000000000000e+01,-8.408847683458994804e-03
9.800000000000000000e+01,-1.563741332038128679e-02
9.900000000000000000e+01,-1.666787562482923563e-02
1.000000000000000000e+02,3.909415636761650529e-04
1.010000000000000000e+02,-7.393825539487236054e-04
1.020000000000000000e+02,1.394418205053322545e-03
1.030000000000000000e+02,2.951254440081475458e-02
1.040000000000000000e+02,1.686167901208209668e-02
1.050000000000000000e+02,-8.408846734268558484e-03
1.060000000000000000e+02,-1.563741185136519746e-02
1.070000000000000000e+02,-1.666787410161621116e-02
1.080000000000000000e+02,3.909423370185522513e-04
1.090000000000000000e+02,-7.393818393099686401e-04
1.100000000000000000e+02,1.394418644461713078e-03
1.110000000000000000e+02,2.951254380341063188e-02
1.120000000000000000e+02,1.686167900186041207e-02
1.130000000000000000e+02,-8.408846117566076001e-03
1.140000000000000000e+02,-1.563741089387762212e-02
1.150000000000000000e+02,-1.666787310653896140e-02
1.160000000000000000e+02,3.909428412445796648e-04
1.170000000000000000e+02,-7.393813734400824607e-04
1.180000000000000000e+02,1.394418928763270418e-03
1.190000000000000000e+02,2.951254340974146517e-02
1.200000000000000000e+02,1.686167899484168967e-02
1.210000000000000000e+02,-8.408845716148173610e-03
1.220000000000000000e+02,-1.563741026908571294e-02
1.230000000000000000e+02,-1.666787245692956387e-02
1.240000000000000000e+02,3.909431709728412863e-04
1.250000000000000000e+02,-7.393810689910449742e-04
1.260000000000000000e+02,1.394419113787468637e-03
1.270000000000000000e+02,2.951254315377260795e-02
1.280000000000000000e+02,1.686167899101341516e-02
1.290000000000000000e+02,-8.408845454939185143e-03
1.300000000000000000e+02,-1.563740986266599214e-02
1.310000000000000000e+02,-1.666787203479190224e-02
1.320000000000000000e+02,3.909433858484872085e-04
1.330000000000000000e+02,-7.393808706718228187e-04
1.340000000000000000e+02,1.394419234484973145e-03
1.350000000000000000e+02,2.951254298897859618e-02
1.360000000000000000e+02,1.686167898911564850e-02
1.370000000000000000e+02,-8.408845285260216351e-03
1.380000000000000000e+02,-1.563740959914529383e-02
1.390000000000000000e+02,-1.666787176137426996e-02
1.400000000000000000e+02,3.909435252466688456e-04
1.410000000000000000e+02,-7.393807420147108364e-04
1.420000000000000000e+02,1.394419313060402078e-03
1.430000000000000000e+02,2.951254288288886196e-02
1.440000000000000000e+02,1.686167898807031107e-02
1.450000000000000000e+02,-8.408845175200262145e-03
1.460000000000000000e+02,-1.563740942845022464e-02
1.470000000000000000e+02,-1.666787158433030713e-02
1.480000000000000000e+02,3.909436155086516837e-04
1.490000000000000000e+02,-7.393806586914796006e-04
1.500000000000000000e+02,1.394419364054383251e-03
1.510000000000000000e+02,2.951254281422534265e-02
1.520000000000000000e+02,1.686167898738076543e-02
1.530000000000000000e+02,-8.408845103841121327e-03
1.540000000000000000e+02,-1.563740931779848339e-02
