r,C_sp
7.900000000000000000e+01,1.500937922458898434e-02
8.000000000000000000e+01,2.127734195302738093e-02
8.100000000000000000e+01,1.479838625727063380e-02
8.200000000000000000e+01,-8.365821346604151911e-06
8.300000000000000000e+01,-1.459806050640811460e-02
8.400000000000000000e+01,-2.062663240984907720e-02
8.500000000000000000e+01,-1.458708286520710683e-02
8.600000000000000000e+01,3.631452399840935175e-05
8.700000000000000000e+01,1.502851485180428485e-02
8.800000000000000000e+01,2.130807928156692316e-02
8.900000000000000000e+01,1.482262486812721373e-02
9.000000000000000000e+01,-6.280564001593198157e-06
9.100000000000000000e+01,-1.462136324069357278e-02
9.200000000000000000e+01,-2.066217489916064368e-02
9.300000000000000000e+01,-1.461335657334164075e-02
9.400000000000000000e+01,3.483764531336649626e-05
9.500000000000000000e+01,1.505198613930045989e-02
9.600000000000000000e+01,2.134191598114161884e-02
9.700000000000000000e+01,1.484675092705368786e-02
9.800000000000000000e+01,-5.227593215549556025e-06
9.900000000000000000e+01,-1.464302712696073823e-02
1.000000000000000000e+02,-2.069289536500672211e-02
1.010000000000000000e+02,-1.463479584794432319e-02
1.020000000000000000e+02,3.414255399340445415e-05
1.030000000000000000e+02,1.507063406895596189e-02
1.040000000000000000e+02,2.136753869455223359e-02
1.050000000000000000e+02,1.486416736585538002e-02
1.060000000000000000e+02,-4.744833625027374601e-06
1.070000000000000000e+02,-1.465790564655737073e-02
1.080000000000000000e+02,-2.071314163336047259e-02
1.090000000000000000e+02,-1.464843567512238119e-02
1.100000000000000000e+02,3.384365473140995829e-05
1.110000000000000000e+02,1.508213852847518736e-02
1.120000000000000000e+02,2.138287330733540034e-02
1.130000000000000000e+02,1.487427080303803904e-02
1.140000000000000000e+02,-4.543325919455151334e-06
1.150000000000000000e+02,-1.466618119355558511e-02
1.160000000000000000e+02,-2.072406992108762058e-02
1.170000000000000000e+02,-1.465560009289976380e-02
1.180000000000000000e+02,3.372853177711961911e-05
1.190000000000000000e+02,1.508798829439096309e-02
1.200000000000000000e+02,2.139047982389085528e-02
1.210000000000000000e+02,1.487915237743455375e-02
1.220000000000000000e+02,-4.469629989451846968e-06
1.230000000000000000e+02,-1.467001540356491045e-02
1.240000000000000000e+02,-2.072899465216169329e-02
1.250000000000000000e+02,-1.465874346159683900e-02
1.260000000000000000e+02,3.369226456196877000e-05
1.270000000000000000e+02,1.509045975799426682e-02
1.280000000000000000e+02,2.139360918555311200e-02
1.290000000000000000e+02,1.488110178230840283e-02
1.300000000000000000e+02,-4.449240789809000479e-06
1.310000000000000000e+02,-1.467146849277337073e-02
1.320000000000000000e+02,-2.073079645051437853e-02
1.330000000000000000e+02,-1.465985225920267247e-02
1.340000000000000000e+02,3.368644620702768898e-05
1.350000000000000000e+02,1.509128430404047330e-02
1.360000000000000000e+02,2.139460987486654572e-02
1.370000000000000000e+02,1.488169358726180828e-02
1.380000000000000000e+02,-4.448323700774065545e-06
1.390000000000000000e+02,-1.467186818349073239e-02
1.400000000000000000e+02,-2.073125532214175129e-02
1.410000000000000000e+02,-1.466011007609645603e-02
1.420000000000000000e+02,3.369017686063392378e-05
1.430000000000000000e+02,1.509144884954286003e-02
1.440000000000000000e+02,2.139478102185457878e-02
1.450000000000000000e+02,1.488177278152431372e-02
1.460000000000000000e+02,-4.452690020514400948e-06
1.470000000000000000e+02,-1.467189287961996602e-02
1.480000000000000000e+02,-2.073125418365706976e-02
1.490000000000000000e+02,-1.466008803983764354e-02
1.500000000000000000e+02,3.369532258027321819e-05
1.510000000000000000e+02,1.509141037527525139e-02
1.520000000000000000e+02,2.139470931206878881e-02
1.530000000000000000e+02,1.488171093437744459e-02
1.540000000000000000e+02,-4.457145849042569171e-06
1.550000000000000000e+02,-1.467182662266581020e-02
1.560000000000000000e+02,-2.073115213438644910e-02
1.570000000000000000e+02,-1.466001183676002122e-02
1.580000000000000000e+02,3.369933723815887034e-05
1.590000000000000000e+02,1.509134094181796559e-02
1.600000000000000000e+02,2.139460916307018082e-02
1.610000000000000000e+02,1.488163929579401808e-02
1.620000000000000000e+02,-4.460307042101228290e-06
1.630000000000000000e+02,-1.467176319159569503e-02
1.640000000000000000e+02,-2.073106272144108198e-02
1.650000000000000000e+02,-1.465994955854115281e-02
1.660000000000000000e+02,3.370187162538822048e-05
1.670000000000000000e+02,1.509128832837376352e-02
1.680000000000000000e+02,2.139453661766315545e-02
1.690000000000000000e+02,1.488158958090797859e-02
1.700000000000000000e+02,-4.462186962545037068e-06
1.710000000000000000e+02,-1.467172162329849136e-02
1.720000000000000000e+02,-2.073100587565350483e-02
1.730000000000000000e+02,-1.465991101139986139e-02
1.740000000000000000e+02,3.370326113768278611e-05
1.750000000000000000e+02,1.509125681461230377e-02
1.760000000000000000e+02,2.139449405556528155e-02
1.770000000000000000e+02,1.488156103005849364e-02
1.780000000000000000e+02,-4.463162651807674753e-06
1.790000000000000000e+02,-1.467169844030708457e-02
1.800000000000000000e+02,-2.073097471709224940e-02
1.810000000000000000e+02,-1.465989022745760664e-02
1.820000000000000000e+02,3.370392571690077109e-05
1.830000000000000000e+02,1.509124012081977835e-02
1.840000000000000000e+02,2.139447182909833683e-02
1.850000000000000000e+02,1.488154635383551715e-02
1.860000000000000000e+02,-4.463595899842428026e-06
1.870000000000000000e+02,-1.467168672150307579e-02
1.880000000000000000e+02,-2.073095919145423807e-02
1.890000000000000000e+02,-1.465988002100821440e-02
1.900000000000000000e+02,3.370418488206140985e-05
1.910000000000000000e+02,1.509123198344189051e-02
1.920000000000000000e+02,2.139446114937546689e-02
1.930000000000000000e+02,1.488153941939819418e-02
1.940000000000000000e+02,-4.463737930163017719e-06
1.950000000000000000e+02,-1.467168121937728609e-02
1.960000000000000000e+02,-2.073095202685449126e-02
1.970000000000000000e+02,-1.465987539810834940e-02
1.980000000000000000e+02,3.370423822803118196e-05
1.990000000000000000e+02,1.509122827529196798e-02
