r,C_n
1.010000000000000000e+02,-1.942199999838587843e+01
1.020000000000000000e+02,-1.857697952626329396e+01
1.030000000000000000e+02,-1.942135591571706499e+01
1.040000000000000000e+02,-1.857602621479184535e+01
1.050000000000000000e+02,-1.942200107918807817e+01
1.060000000000000000e+02,-1.857697779669050675e+01
1.070000000000000000e+02,-1.942135694516675670e+01
1.080000000000000000e+02,-1.857602455380449413e+01
1.090000000000000000e+02,-1.942200205998553031e+01
1.100000000000000000e+02,-1.857697621565816348e+01
1.110000000000000000e+02,-1.942135787846401485e+01
1.120000000000000000e+02,-1.857602303634548946e+01
1.130000000000000000e+02,-1.942200294763324564e+01
1.140000000000000000e+02,-1.857697477315510071e+01
1.150000000000000000e+02,-1.942135872219339632e+01
1.160000000000000000e+02,-1.857602165276318829e+01
1.170000000000000000e+02,-1.942200374862864010e+01
1.180000000000000000e+02,-1.857697345971737235e+01
1.190000000000000000e+02,-1.942135948259688405e+01
1.200000000000000000e+02,-1.857602039392848781e+01
1.210000000000000000e+02,-1.942200446911949285e+01
1.220000000000000000e+02,-1.857697226640685528e+01
1.230000000000000000e+02,-1.942136016558271905e+01
1.240000000000000000e+02,-1.857601925121551290e+01
1.250000000000000000e+02,-1.942200511491453341e+01
1.260000000000000000e+02,-1.857697118479017462e+01
1.270000000000000000e+02,-1.942136077673482930e+01
1.280000000000000000e+02,-1.857601821648158591e+01
1.290000000000000000e+02,-1.942200569149392209e+01
1.300000000000000000e+02,-1.857697020691741585e+01
1.310000000000000000e+02,-1.942136132132289816e+01
1.320000000000000000e+02,-1.857601728204762992e+01
1.330000000000000000e+02,-1.942200620402115163e+01
1.340000000000000000e+02,-1.857696932530165412e+01
1.350000000000000000e+02,-1.942136180431366910e+01
1.360000000000000000e+02,-1.857601644067877089e+01
1.370000000000000000e+02,-1.942200665735495591e+01
1.380000000000000000e+02,-1.857696853289818506e+01
1.390000000000000000e+02,-1.942136223038234988e+01
1.400000000000000000e+02,-1.857601568556469829e+01
1.410000000000000000e+02,-1.942200705606171596e+01
1.420000000000000000e+02,-1.857696782308448746e+01
1.430000000000000000e+02,-1.942136260392422287e+01
1.440000000000000000e+02,-1.857601501030113411e+01
1.450000000000000000e+02,-1.942200740442783768e+01
1.460000000000000000e+02,-1.857696718964059102e+01
1.470000000000000000e+02,-1.942136292906640449e+01
1.480000000000000000e+02,-1.857601440887108168e+01
1.490000000000000000e+02,-1.942200770647258423e+01
1.500000000000000000e+02,-1.857696662673016874e+01
1.510000000000000000e+02,-1.942136320967981788e+01
1.520000000000000000e+02,-1.857601387562654338e+01
1.530000000000000000e+02,-1.942200796596011969e+01
1.540000000000000000e+02,-1.857696612888130261e+01
1.550000000000000000e+02,-1.942136344939102344e+01
1.560000000000000000e+02,-1.857601340527109102e+01
1.570000000000000000e+02,-1.942200818641214255e+01
1.580000000000000000e+02,-1.857696569096913208e+01
1.590000000000000000e+02,-1.942136365159379352e+01
1.600000000000000000e+02,-1.857601299284247176e+01
1.610000000000000000e+02,-1.942200837111955281e+01
1.620000000000000000e+02,-1.857696530819766423e+01
1.630000000000000000e+02,-1.942136381946040302e+01
1.640000000000000000e+02,-1.857601263369582512e+01
1.650000000000000000e+02,-1.942200852315463067e+01
1.660000000000000000e+02,-1.857696497608281305e+01
1.670000000000000000e+02,-1.942136395595289144e+01
1.680000000000000000e+02,-1.857601232348742570e+01
1.690000000000000000e+02,-1.942200864538206417e+01
1.700000000000000000e+02,-1.857696469043643361e+01
1.710000000000000000e+02,-1.942136406383411895e+01
1.720000000000000000e+02,-1.857601205815919343e+01
1.730000000000000000e+02,-1.942200874047037473e+01
1.740000000000000000e+02,-1.857696444735007191e+01
1.750000000000000000e+02,-1.942136414567814029e+01
1.760000000000000000e+02,-1.857601183392330313e+01
1.770000000000000000e+02,-1.942200881090244025e+01
1.780000000000000000e+02,-1.857696424317973793e+01
1.790000000000000000e+02,-1.942136420388048634e+01
1.800000000000000000e+02,-1.857601164724771792e+01
1.810000000000000000e+02,-1.942200885898601825e+01
1.820000000000000000e+02,-1.857696407453155985e+01
1.830000000000000000e+02,-1.942136424066821832e+01
1.840000000000000000e+02,-1.857601149484213465e+01
1.850000000000000000e+02,-1.942200888686380722e+01
1.860000000000000000e+02,-1.857696393824720360e+01
1.870000000000000000e+02,-1.942136425810902267e+01
1.880000000000000000e+02,-1.857601137364428467e+01
