r,C_nn
1.650000000000000000e+02,-5.157396806565794911e-03
1.660000000000000000e+02,-1.112567381223728002e-02
1.670000000000000000e+02,-1.691132100938619320e-02
1.680000000000000000e+02,-1.746592055935469734e-02
1.690000000000000000e+02,-1.747901275945873412e-02
1.700000000000000000e+02,-1.634927996305890474e-02
1.710000000000000000e+02,-1.032691651016004464e-02
1.720000000000000000e+02,-2.849169032714815586e-03
1.730000000000000000e+02,4.507723284031039945e-03
1.740000000000000000e+02,9.724180910150925783e-03
1.750000000000000000e+02,1.478101420381605635e-02
1.760000000000000000e+02,1.526575167483101847e-02
1.770000000000000000e+02,1.527719433633323298e-02
1.780000000000000000e+02,1.428977274541010090e-02
1.790000000000000000e+02,9.026041851083466128e-03
1.800000000000000000e+02,2.490261247293901192e-03
1.810000000000000000e+02,-3.939888650779543866e-03
1.820000000000000000e+02,-8.499232827926084255e-03
1.830000000000000000e+02,-1.291906056510738754e-02
1.840000000000000000e+02,-1.334273580132305792e-02
1.850000000000000000e+02,-1.335273719746732368e-02
1.860000000000000000e+02,-1.248970059039389291e-02
1.870000000000000000e+02,-7.889038149536342637e-03
1.880000000000000000e+02,-2.176564861174790089e-03
1.890000000000000000e+02,3.443583740022182482e-03
1.900000000000000000e+02,7.428590675383928144e-03
1.910000000000000000e+02,1.129165589116576385e-02
1.920000000000000000e+02,1.166196116700146668e-02
1.930000000000000000e+02,1.167070261700309253e-02
1.940000000000000000e+02,1.091638200538391779e-02
1.950000000000000000e+02,6.895261625656567972e-03
1.960000000000000000e+02,1.902384558470693321e-03
1.970000000000000000e+02,-3.009797995543683768e-03
1.980000000000000000e+02,-6.492816483982366549e-03
1.990000000000000000e+02,-9.869254194161625193e-03
2.000000000000000000e+02,-1.019291233355701376e-02
2.010000000000000000e+02,-1.020055266739405830e-02
2.020000000000000000e+02,-9.541253324165444027e-03
2.030000000000000000e+02,-6.026670581768089896e-03
2.040000000000000000e+02,-1.662742560506247358e-03
2.050000000000000000e+02,2.630655927776670566e-03
2.060000000000000000e+02,5.674921114187658766e-03
2.070000000000000000e+02,8.626031410203127692e-03
2.080000000000000000e+02,8.908918593091841309e-03
2.090000000000000000e+02,8.915596461049668520e-03
2.100000000000000000e+02,8.339348553607850434e-03
2.110000000000000000e+02,5.267495236435548733e-03
2.120000000000000000e+02,1.453288085599746537e-03
2.130000000000000000e+02,-2.299274110319937670e-03
2.140000000000000000e+02,-4.960055417510433884e-03
2.150000000000000000e+02,-7.539416495746076308e-03
2.160000000000000000e+02,-7.786668573690480599e-03
2.170000000000000000e+02,-7.792505244559988498e-03
2.180000000000000000e+02,-7.288846879282662172e-03
2.190000000000000000e+02,-4.603952699579805241e-03
2.200000000000000000e+02,-1.270218441498771611e-03
2.210000000000000000e+02,2.009636220128618866e-03
2.220000000000000000e+02,4.335240839855036832e-03
2.230000000000000000e+02,6.589681674064595818e-03
2.240000000000000000e+02,6.805787593094025922e-03
2.250000000000000000e+02,6.810889018322829891e-03
2.260000000000000000e+02,6.370676125937224654e-03
2.270000000000000000e+02,4.023996114033367988e-03
2.280000000000000000e+02,1.110209946223017496e-03
2.290000000000000000e+02,-1.756483804532749105e-03
2.300000000000000000e+02,-3.789133697862379080e-03
2.310000000000000000e+02,-5.759584257873928692e-03
2.320000000000000000e+02,-5.948467468334106556e-03
2.330000000000000000e+02,-5.952926272908998229e-03
2.340000000000000000e+02,-5.568166681752195757e-03
2.350000000000000000e+02,-3.517096248442763695e-03
2.360000000000000000e+02,-9.703576055883900153e-04
2.370000000000000000e+02,1.535220814980253756e-03
2.380000000000000000e+02,3.311819277516336868e-03
2.390000000000000000e+02,5.034053610708855153e-03
2.400000000000000000e+02,5.199143341682477271e-03
2.410000000000000000e+02,5.203040472815501083e-03
